age_group,year,age_count
14 - Below,1981,9588
15 - 19,1981,4712
20 - 24,1981,5846
25 - 29,1981,5919
30 - 34,1981,4048
35 - 39,1981,2445
40 - 44,1981,1799
45 - 49,1981,1543
50 - 54,1981,2142
55 - 59,1981,2955
60 - 64,1981,3068
65 - 69,1981,2653
70 - Above,1981,2149
14 - Below,1982,9100
15 - 19,1982,4650
20 - 24,1982,5956
25 - 29,1982,6643
30 - 34,1982,5357
35 - 39,1982,3488
40 - 44,1982,2760
45 - 49,1982,2145
50 - 54,1982,2402
55 - 59,1982,2985
60 - 64,1982,3223
65 - 69,1982,2630
70 - Above,1982,2614
14 - Below,1983,8433
15 - 19,1983,4498
20 - 24,1983,5164
25 - 29,1983,5323
30 - 34,1983,3659
35 - 39,1983,2409
40 - 44,1983,1678
45 - 49,1983,1437
50 - 54,1983,1679
55 - 59,1983,2364
60 - 64,1983,2461
65 - 69,1983,1737
70 - Above,1983,1639
14 - Below,1984,8199
15 - 19,1984,4359
20 - 24,1984,5035
25 - 29,1984,5348
30 - 34,1984,3956
35 - 39,1984,2695
40 - 44,1984,1703
45 - 49,1984,1586
50 - 54,1984,1601
55 - 59,1984,2007
60 - 64,1984,2109
65 - 69,1984,1497
70 - Above,1984,1456
14 - Below,1985,9154
15 - 19,1985,4822
20 - 24,1985,5196
25 - 29,1985,5489
30 - 34,1985,4264
35 - 39,1985,2845
40 - 44,1985,1665
45 - 49,1985,1613
50 - 54,1985,1800
55 - 59,1985,2344
60 - 64,1985,2458
65 - 69,1985,1809
70 - Above,1985,1810
14 - Below,1986,10524
15 - 19,1986,5520
20 - 24,1986,5512
25 - 29,1986,5809
30 - 34,1986,4836
35 - 39,1986,3179
40 - 44,1986,1855
45 - 49,1986,1590
50 - 54,1986,1840
55 - 59,1986,2339
60 - 64,1986,2576
65 - 69,1986,1867
70 - Above,1986,1891
14 - Below,1987,12407
15 - 19,1987,5941
20 - 24,1987,5733
25 - 29,1987,6946
30 - 34,1987,6359
35 - 39,1987,4069
40 - 44,1987,2334
45 - 49,1987,1742
50 - 54,1987,1943
55 - 59,1987,2436
60 - 64,1987,2554
65 - 69,1987,1990
70 - Above,1987,1896
14 - Below,1988,13271
15 - 19,1988,6237
20 - 24,1988,5440
25 - 29,1988,6899
30 - 34,1988,6561
35 - 39,1988,4379
40 - 44,1988,2770
45 - 49,1988,1981
50 - 54,1988,1970
55 - 59,1988,2384
60 - 64,1988,2389
65 - 69,1988,1848
70 - Above,1988,1867
No Response,1988,24
14 - Below,1989,12207
15 - 19,1989,5620
20 - 24,1989,5735
25 - 29,1989,7076
30 - 34,1989,6731
35 - 39,1989,4265
40 - 44,1989,2746
45 - 49,1989,1897
50 - 54,1989,1973
55 - 59,1989,2095
60 - 64,1989,2022
65 - 69,1989,1602
70 - Above,1989,1762
No Response,1989,14
14 - Below,1990,12053
15 - 19,1990,5954
20 - 24,1990,7582
25 - 29,1990,8810
30 - 34,1990,7546
35 - 39,1990,4503
40 - 44,1990,3018
45 - 49,1990,2006
50 - 54,1990,2308
55 - 59,1990,2542
60 - 64,1990,2601
65 - 69,1990,2042
70 - Above,1990,2176
No Response,1990,8
14 - Below,1991,11634
15 - 19,1991,6235
20 - 24,1991,7813
25 - 29,1991,8579
30 - 34,1991,6855
35 - 39,1991,4242
40 - 44,1991,2942
45 - 49,1991,2083
50 - 54,1991,2260
55 - 59,1991,2534
60 - 64,1991,2867
65 - 69,1991,2207
70 - Above,1991,2212
No Response,1991,1
14 - Below,1992,12708
15 - 19,1992,7347
20 - 24,1992,8014
25 - 29,1992,8375
30 - 34,1992,6908
35 - 39,1992,4608
40 - 44,1992,3027
45 - 49,1992,2156
50 - 54,1992,2210
55 - 59,1992,2477
60 - 64,1992,2501
65 - 69,1992,1967
70 - Above,1992,1856
14 - Below,1993,13119
15 - 19,1993,7141
20 - 24,1993,7563
25 - 29,1993,8332
30 - 34,1993,6967
35 - 39,1993,4878
40 - 44,1993,3373
45 - 49,1993,2361
50 - 54,1993,2406
55 - 59,1993,2759
60 - 64,1993,2996
65 - 69,1993,2294
70 - Above,1993,2201
14 - Below,1994,12462
15 - 19,1994,6904
20 - 24,1994,6707
25 - 29,1994,8376
30 - 34,1994,6911
35 - 39,1994,4783
40 - 44,1994,3164
45 - 49,1994,2477
50 - 54,1994,2347
55 - 59,1994,2909
60 - 64,1994,3079
65 - 69,1994,2457
70 - Above,1994,1955
14 - Below,1995,11372
15 - 19,1995,6158
20 - 24,1995,5826
25 - 29,1995,7987
30 - 34,1995,6463
35 - 39,1995,3923
40 - 44,1995,2715
45 - 49,1995,2197
50 - 54,1995,2012
55 - 59,1995,2420
60 - 64,1995,2222
65 - 69,1995,1591
70 - Above,1995,1356
14 - Below,1996,12162
15 - 19,1996,7507
20 - 24,1996,5977
25 - 29,1996,7359
30 - 34,1996,5999
35 - 39,1996,4107
40 - 44,1996,3161
45 - 49,1996,2866
50 - 54,1996,2566
55 - 59,1996,2928
60 - 64,1996,2672
65 - 69,1996,1971
70 - Above,1996,1638
14 - Below,1997,10172
15 - 19,1997,6444
20 - 24,1997,5190
25 - 29,1997,6542
30 - 34,1997,5192
35 - 39,1997,3527
40 - 44,1997,2714
45 - 49,1997,2737
50 - 54,1997,2607
55 - 59,1997,2885
60 - 64,1997,2664
65 - 69,1997,1861
70 - Above,1997,1524
14 - Below,1998,7208
15 - 19,1998,4692
20 - 24,1998,4283
25 - 29,1998,5022
30 - 34,1998,4202
35 - 39,1998,2816
40 - 44,1998,1990
45 - 49,1998,1780
50 - 54,1998,1707
55 - 59,1998,1654
60 - 64,1998,1506
65 - 69,1998,1139
70 - Above,1998,1010
14 - Below,1999,7288
15 - 19,1999,4678
20 - 24,1999,4849
25 - 29,1999,5513
30 - 34,1999,4531
35 - 39,1999,2989
40 - 44,1999,1907
45 - 49,1999,1654
50 - 54,1999,1633
55 - 59,1999,1576
60 - 64,1999,1596
65 - 69,1999,1219
70 - Above,1999,1074
14 - Below,2000,9132
15 - 19,2000,5194
20 - 24,2000,5123
25 - 29,2000,7056
30 - 34,2000,6434
35 - 39,2000,4527
40 - 44,2000,2971
45 - 49,2000,2201
50 - 54,2000,2052
55 - 59,2000,1891
60 - 64,2000,1824
65 - 69,2000,1478
70 - Above,2000,1136
No Response,2000,12
14 - Below,2001,10091
15 - 19,2001,5070
20 - 24,2001,5432
25 - 29,2001,6877
30 - 34,2001,6665
35 - 39,2001,4381
40 - 44,2001,2726
45 - 49,2001,1809
50 - 54,2001,1874
55 - 59,2001,1787
60 - 64,2001,2277
65 - 69,2001,1499
70 - Above,2001,1566
14 - Below,2002,11970
15 - 19,2002,5503
20 - 24,2002,5568
25 - 29,2002,7806
30 - 34,2002,7238
35 - 39,2002,4650
40 - 44,2002,3136
45 - 49,2002,2402
50 - 54,2002,2052
55 - 59,2002,1918
60 - 64,2002,2006
65 - 69,2002,1783
70 - Above,2002,1683
No Response,2002,5
14 - Below,2003,12017
15 - 19,2003,5107
20 - 24,2003,5483
25 - 29,2003,6822
30 - 34,2003,7023
35 - 39,2003,4430
40 - 44,2003,3045
45 - 49,2003,2431
50 - 54,2003,2172
55 - 59,2003,1981
60 - 64,2003,1814
65 - 69,2003,1489
70 - Above,2003,1323
14 - Below,2004,13793
15 - 19,2004,6048
20 - 24,2004,6499
25 - 29,2004,7748
30 - 34,2004,8298
35 - 39,2004,5337
40 - 44,2004,3630
45 - 49,2004,2843
50 - 54,2004,2510
55 - 59,2004,2472
60 - 64,2004,2154
65 - 69,2004,1825
70 - Above,2004,1767
14 - Below,2005,15057
15 - 19,2005,6404
20 - 24,2005,7122
25 - 29,2005,8309
30 - 34,2005,8508
35 - 39,2005,6093
40 - 44,2005,4116
45 - 49,2005,3126
50 - 54,2005,2455
55 - 59,2005,2392
60 - 64,2005,2074
65 - 69,2005,1732
70 - Above,2005,1640
14 - Below,2006,17919
15 - 19,2006,7169
20 - 24,2006,9267
25 - 29,2006,10524
30 - 34,2006,10383
35 - 39,2006,7521
40 - 44,2006,4734
45 - 49,2006,3390
50 - 54,2006,2701
55 - 59,2006,2618
60 - 64,2006,2351
65 - 69,2006,2090
70 - Above,2006,2300
14 - Below,2007,17011
15 - 19,2007,8036
20 - 24,2007,8484
25 - 29,2007,9404
30 - 34,2007,8233
35 - 39,2007,6669
40 - 44,2007,4792
45 - 49,2007,3443
50 - 54,2007,2844
55 - 59,2007,3013
60 - 64,2007,3163
65 - 69,2007,2699
70 - Above,2007,2808
14 - Below,2008,15420
15 - 19,2008,7516
20 - 24,2008,7443
25 - 29,2008,8019
30 - 34,2008,7084
35 - 39,2008,5826
40 - 44,2008,4337
45 - 49,2008,3266
50 - 54,2008,2718
55 - 59,2008,2615
60 - 64,2008,2708
65 - 69,2008,1918
70 - Above,2008,1861
No Response,2008,69
14 - Below,2009,17706
15 - 19,2009,8246
20 - 24,2009,7907
25 - 29,2009,8423
30 - 34,2009,8022
35 - 39,2009,6544
40 - 44,2009,4938
45 - 49,2009,3666
50 - 54,2009,3128
55 - 59,2009,3273
60 - 64,2009,3163
65 - 69,2009,2304
70 - Above,2009,2340
No Response,2009,58
14 - Below,2010,20864
15 - 19,2010,8683
20 - 24,2010,8388
25 - 29,2010,8218
30 - 34,2010,9179
35 - 39,2010,7682
40 - 44,2010,5754
45 - 49,2010,4337
50 - 54,2010,3433
55 - 59,2010,3005
60 - 64,2010,2803
65 - 69,2010,1803
70 - Above,2010,1822
No Response,2010,104
14 - Below,2011,19891
15 - 19,2011,8346
20 - 24,2011,8365
25 - 29,2011,8629
30 - 34,2011,8952
35 - 39,2011,7352
40 - 44,2011,5657
45 - 49,2011,4015
50 - 54,2011,3136
55 - 59,2011,2785
60 - 64,2011,2711
65 - 69,2011,1843
70 - Above,2011,1713
No Response,2011,15
14 - Below,2012,18887
15 - 19,2012,8493
20 - 24,2012,8898
25 - 29,2012,8847
30 - 34,2012,8867
35 - 39,2012,7095
40 - 44,2012,5274
45 - 49,2012,3749
50 - 54,2012,2961
55 - 59,2012,2976
60 - 64,2012,3160
65 - 69,2012,2263
70 - Above,2012,2170
14 - Below,2013,17170
15 - 19,2013,8309
20 - 24,2013,8029
25 - 29,2013,8060
30 - 34,2013,8546
35 - 39,2013,6677
40 - 44,2013,4990
45 - 49,2013,3342
50 - 54,2013,2979
55 - 59,2013,3159
60 - 64,2013,2804
65 - 69,2013,2184
70 - Above,2013,1978
No Response,2013,1
14 - Below,2014,18014
15 - 19,2014,8401
20 - 24,2014,8396
25 - 29,2014,8790
30 - 34,2014,9284
35 - 39,2014,7323
40 - 44,2014,5159
45 - 49,2014,3534
50 - 54,2014,3081
55 - 59,2014,2870
60 - 64,2014,2496
65 - 69,2014,1786
70 - Above,2014,1555
14 - Below,2015,21581
15 - 19,2015,11102
20 - 24,2015,8902
25 - 29,2015,9178
30 - 34,2015,10238
35 - 39,2015,8700
40 - 44,2015,5901
45 - 49,2015,4248
50 - 54,2015,3291
55 - 59,2015,3182
60 - 64,2015,2710
65 - 69,2015,2061
70 - Above,2015,1902
No Response,2015,2
14 - Below,2016,20430
15 - 19,2016,10500
20 - 24,2016,8127
25 - 29,2016,9134
30 - 34,2016,10579
35 - 39,2016,8821
40 - 44,2016,5795
45 - 49,2016,4204
50 - 54,2016,3215
55 - 59,2016,2717
60 - 64,2016,2345
65 - 69,2016,1809
70 - Above,2016,1677
No Response,2016,1
14 - Below,2017,18741
15 - 19,2017,9319
20 - 24,2017,7216
25 - 29,2017,7957
30 - 34,2017,9690
35 - 39,2017,8179
40 - 44,2017,5364
45 - 49,2017,3597
50 - 54,2017,2739
55 - 59,2017,2399
60 - 64,2017,1871
65 - 69,2017,1393
70 - Above,2017,1309
No Response,2017,5
14 - Below,2018,15820
15 - 19,2018,8233
20 - 24,2018,6673
25 - 29,2018,7809
30 - 34,2018,9276
35 - 39,2018,7223
40 - 44,2018,4827
45 - 49,2018,3346
50 - 54,2018,2639
55 - 59,2018,2530
60 - 64,2018,2172
65 - 69,2018,1585
70 - Above,2018,1516
No Response,2018,70
14 - Below,2019,13323
15 - 19,2019,6454
20 - 24,2019,5791
25 - 29,2019,7592
30 - 34,2019,9108
35 - 39,2019,6790
40 - 44,2019,4428
45 - 49,2019,2949
50 - 54,2019,2278
55 - 59,2019,2071
60 - 64,2019,1757
65 - 69,2019,1384
70 - Above,2019,1233
No Response,2019,6
14 - Below,2020,3109
15 - 19,2020,1512
20 - 24,2020,1394
25 - 29,2020,2180
30 - 34,2020,2360
35 - 39,2020,1741
40 - 44,2020,1110
45 - 49,2020,602
50 - 54,2020,446
55 - 59,2020,425
60 - 64,2020,337
65 - 69,2020,261
70 - Above,2020,217
No Response,2020,9
